#taxid	libtype	vtype	lib_name	library_id	libabbr	creator	allele_type	total_clones	total_end_seq	total_ins_seq	clone_b_ends	total_gtt_seq
9606	genomic	YAC	Unspecified YAC library	42	XXyac			124	0	36	0	0
9606	genomic	PAC	Unspecified PAC library	4	XXpac			42	0	37	0	0
9606	genomic	P1	Unspecified P1 library	3	XXp1			114	0	93	0	0
9606	genomic	fosmid	Unspecified fosmid library	2	XXfos			447	0	369	0	0
9606	genomic	cosmid	Unspecified cosmid library	1	XXcos			149	0	38	0	0
9606	genomic	BAC	Unspecified BAC library	5	XXbac			293	0	64	0	0
9606	genomic	fosmid	WIBR-2 human Fosmid library	60	WI2			1122564	2298885	819	1113625	0
9606	genomic	BAC	Human BAC library VMRC66	38485097	VMRC66			46	0	46	0	0
9606	genomic	BAC	Human BAC library VMRC64	37646175	VMRC64			104	0	104	0	0
9606	genomic	BAC	Human BAC library VMRC62	37646174	VMRC62			79	0	79	0	0
9606	genomic	BAC	Human BAC library VMRC59	37496227	VMRC59			74	0	74	0	0
9606	genomic	BAC	Human BAC library VMRC57	37448869	VMRC57			5	0	5	0	0
9606	genomic	BAC	Human BAC library VMRC54	37448868	VMRC54			8	0	8	0	0
9606	genomic	BAC	Human BAC library VMRC53	37448867	VMRC53			77	0	77	0	0
9606	genomic	BAC	Research Genetics total human BAC	35	SCb			53	0	53	0	0
9606	genomic	cosmid	Stratagene human cosmid library (placenta)	38	SCLUCA			14	0	12	0	0
9606	genomic	fosmid	Sanger Centre human chromosome 6 fosmid library	28	SC6fA			0	0	0	0	0
9606	genomic	cosmid	Sanger Centre human chromosome 6 cosmid library	30	SC6cA			1	0	1	0	0
9606	genomic	cosmid	Sanger Centre human chromosome 22 cosmid library	29	SC22cB			45	0	44	0	0
9606	genomic	PAC	RPCI human PAC library	223	RPpac			0	0	0	0	0
9606	genomic	PAC	RPCI human PAC library 6	11	RP6			1316	224	94	111	0
9606	genomic	PAC	RPCI human PAC library 5	10	RP5			14532	448	1214	183	0
9606	genomic	PAC	RPCI human PAC library 4	9	RP4			13944	347	1005	151	0
