#Gi	CloneName	Stdn	Chrom	Phase	CloneState	GCenter	Accession	SeqLen	LibAbbr
3021697	CEPHY-745D12	Y	6	3	fin		AB000882.1	148960	CEPHY
2250697	D6B5	A	21	3	fin		AB001517.1	43051	KU21D
2250697	KU21D-6B5	Y	21	3	fin		AB001517.1	43051	KU21D
2244605	KB-86A5	Y	21	3	fin		AB001523.1	122638	KB
2244605	KB86A5	A	21	3	fin		AB001523.1	122638	KB
3702678	RP1-26P16	Y	22	3	unk		AB003151.1	170529	RP1
2696618	D4G11	A	21	3	unk		AB006684.1	20000	KU21D
2696618	KU21D-4G11	Y	21	3	unk		AB006684.1	20000	KU21D
6681700	KB-1559F8	Y	21	3	unk		AB017602.1	125000	KB
6681700	KB-161B8	Y	21	3	unk		AB017602.1	125000	KB
6681700	KB1559F8	A	21	3	unk		AB017602.1	125000	KB
6681700	KB161B8	A	21	3	unk		AB017602.1	125000	KB
23307487	KB-615C6	Y	11	3	fin		AB017651.2	131668	KB
23307487	KB615C6	A	11	3	fin		AB017651.2	131668	KB
6979002	KB-4H11	Y	11	3	fin		AB017654.1	170965	KB
6979002	KB4H11	A	11	3	fin		AB017654.1	170965	KB
5672603	XXbac-53L9	Y	6	3	fin		AB023048.1	192650	XXbac
5672604	XXbac-321E19	Y	6	3	fin		AB023049.1	123554	XXbac
5672605	XXpac-832F2	Y	6	3	fin		AB023050.1	112018	XXpac
5672606	XXpac-876L4	Y	6	3	fin		AB023051.1	90244	XXpac
5672608	XXbac-53L9	Y	6	3	fin		AB023053.1	14868	XXbac
5672609	XXpac-679G22	Y	6	3	fin		AB023054.1	162383	XXpac
5672624	XXpac-904J21	Y	6	3	fin		AB023055.1	162383	XXpac
5672625	XXpac-544A6	Y	6	3	fin		AB023056.1	162227	XXpac
5672626	XXpac-779F20	Y	6	3	fin		AB023057.1	81561	XXpac
5672627	XXpac-950A3	Y	6	3	fin		AB023058.1	114450	XXpac
10280531	KB-1430A10	Y	21	3	unk	Keio	AB038161.1	81000	KB
10280531	KB-169B4	Y	21	3	unk	Keio	AB038161.1	81000	KB
10280531	KB1430A10	A	21	3	unk	Keio	AB038161.1	81000	KB
10280531	KB169B4	A	21	3	unk	Keio	AB038161.1	81000	KB
10280533	KB-169B4	Y	21	3	unk	Keio	AB038162.1	57000	KB
10280533	KB169B4	A	21	3	unk	Keio	AB038162.1	57000	KB
14149091	B445M7	A	14	3	unk		AB038653.1	175330	RP11
14149091	RP11-445M7	Y	14	3	unk		AB038653.1	175330	RP11
8918412	810n20	A	1	3	fin		AB045357.1	132131	RP4
8918412	RP4-810N20	Y	1	3	fin		AB045357.1	132131	RP4
8918413	893n23	A	1	3	fin		AB045358.1	118264	RP5
8918413	RP5-893N23	Y	1	3	fin		AB045358.1	118264	RP5
8918544	987d5	A	1	3	fin		AB045360.1	163186	RP5
8918544	RP5-987D5	Y	1	3	fin		AB045360.1	163186	RP5
8918545	713i11	A	1	3	fin		AB045361.1	148081	RP4
8918545	RP4-713I11	Y	1	3	fin		AB045361.1	148081	RP4
8918546	974o18	A	1	3	fin		AB045362.1	30614	RP5
8918546	RP5-974O18	Y	1	3	fin		AB045362.1	30614	RP5
8918548	683m11	A	1	3	fin		AB045364.1	137890	RP4
