	#Gi	CloneName	Stdn	Chrom	Phase	CloneState	GCenter	Accession	SeqLen	LibAbbr
2118	24080700	RP11-89A1	Y	11	3	fin	WIBR	AC007640.13	171722	RP11
2146	22475311	RP11-442E11	Y	11	3	fin	UOKNOR	AC007707.14	188963	RP11
3049	6272468	RP11-579H17	Y	11	3	fin		AC009294.8	211316	RP11
3123	11321807	RP11-87N22	Y	11	3	fin	WIBR	AC009466.17	193279	RP11
3126	9454623	RP11-125K7	Y	11	3	fin	WUGSC	AC009470.4	162511	RP11
3176	16946028	RP11-359E10	Y	11	3	fin	WIBR	AC009549.6	180442	RP11
3194	18376912	RP11-47K5	Y	11	3	fin	WIBR	AC009638.9	157610	RP11
3195	18425297	RP11-111A24	Y	11	3	fin	WIBR	AC009643.8	183169	RP11
3197	19352311	RP11-428C19	Y	11	3	fin	WIBR	AC009652.14	200823	RP11
3199	22477086	RP11-219O3	Y	11	3	fin	WIBR	AC009656.11	104422	RP11
3200	22475045	RP11-362G8	Y	11	3	fin	WIBR	AC009659.5	175372	RP11
3232	18201851	RP11-101E4	Y	11	3	fin	WIBR	AC009758.8	141485	RP11
3248	13324838	RP11-211E17	Y	11	3	fin	WIBR	AC009796.6	192239	RP11
3253	21591863	RP11-51B23	Y	11	3	fin	WIBR	AC009806.9	175223	RP11
3262	16356899	RP11-61E7	Y	11	3	fin	WIBR	AC009866.6	177564	RP11
3263	15412483	RP11-222N13	Y	11	3	fin	WIBR	AC009869.7	192696	RP11
3659	13096043	RP11-61J24	Y	11	3	fin	UWMSC	AC010583.5	184569	RP11
3759	18201852	RP11-58K22	Y	11	3	fin	WIBR	AC010768.10	192391	RP11
3767	22038655	RP11-3E17	Y	11	3	fin	WIBR	AC010811.20	149205	RP11
3812	17488673	RP11-54I6	Y	11	3	fin	WIBR	AC010930.9	148313	RP11
3853	27802045	RP11-21L19	Y	11	3	fin	WIBR	AC011084.17	183854	RP11
3855	7960348	RP11-292E14	Y	11	3	fin	WIBR	AC011088.8	164991	RP11
4161	21427891	RP11-15D18	Y	11	3	fin	WIBR	AC011647.9	143897	RP11
4165	18093027	RP11-145B21	Y	11	3	fin	WIBR	AC011669.10	190023	RP11
4171	18855099	RP11-309J20	Y	11	3	fin	WIBR	AC011711.8	149542	RP11
4242	18376919	RP11-16F15	Y	11	3	fin	WIBR	AC011979.7	154995	RP11
4334	26225149	RP11-439A13	Y	11	3	fin	WIBR	AC012228.10	5347	RP11
4626	18377199	RP11-407P18	Y	11	3	fin	WIBR	AC013488.9	151304	RP11
4635	22038632	RP11-47J17	Y	11	3	fin	WIBR	AC013549.9	163180	RP11
4644	27552585	RP11-8L12	Y	11	3	fin	WIBR	AC013595.11	92999	RP11
4680	23266357	RP11-19N21	Y	11	3	fin	WIBR	AC013791.9	174569	RP11
4706	28191608	RP11-45C5	Y	11	3	fin	WIBR	AC015600.8	154158	RP11
4717	18129440	RP11-2C23	Y	11	3	fin	WIBR	AC015684.11	183939	RP11
4720	22004236	RP11-23F23	Y	11	3	fin	WIBR	AC015689.12	182522	RP11
4722	18104849	RP11-168C2	Y	11	3	fin	WIBR	AC015700.8	177984	RP11
4750	19849386	RP11-108G3	Y	11	3	fin	WIBR	AC015820.10	165149	RP11
4869	18698814	RP11-361K15	Y	11	3	fin	WIBR	AC016450.10	187449	RP11
5049	29150506	RP11-5E23	Y	11	3	fin	WIBR	AC016845.14	167727	RP11
5052	18702409	RP11-15I16	Y	11	3	fin	WIBR	AC016870.8	108922	RP11
5063	11038566	RP11-217B19	Y	11	3	fin	WUGSC	AC016902.4	184841	RP11
5185	24850147	RP11-17G12	Y	11	3	fin	WIBR	AC018410.24	147024	RP11
5234	21637518	RP11-5O5	Y	11	3	fin	WIBR	AC018531.9	165968	RP11
5298	9665213	RP11-563P16	Y	11	3	fin	WUGSC	AC018694.4	196832	RP11
5312	8570095	RP11-430H10	Y	11	3	fin	WUGSC	AC018716.4	179726	RP11
5345	29725862	RP11-437G21	Y	11	3	fin	WIBR	AC018793.12	202956	RP11
5346	17488703	RP11-699C18	Y	11	3	fin	WIBR	AC018795.10	187836	RP11
5361	9828639	RP11-339D19	Y	11	3	fin	Beijing	AC018825.3	641	RP11
5387	9454647	RP11-575J11	Y	11	3	fin	WUGSC	AC018897.4	164472	RP11
5407	13560990	RP11-307P14	Y	11	3	fin	WIBR	AC018951.8	194547	RP11
5511	9755498	RP11-567O18	Y	11	3	fin	WUGSC	AC019227.4	190314	RP11
